account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
BeatsByAssassin,,,1,2409903,master only (1)
BIGMONEYMIKE6,,,1,572584,master only (1)
bjnovak,,,1,1298037,master only (1)
BlakeGray,,,1,893101,master only (1)
BloodDonorsIn,,,1,1212318,master only (1)
bonihargens,,,1,1469999,master only (1)
bpbmumbai,,,1,1847851,master only (1)
bretteldredge,,,1,1311571,master only (1)
brysontiller,,,1,2574806,master only (1)
burnie,,,1,684308,master only (1)
butchwalker,,,1,637545,master only (1)
CharlizeAfrica,,,1,754859,master only (1)
Charmmeofficial,,,1,558441,master only (1)
CHRIS_Daughtry,,,1,542264,master only (1)
chris_tiu,,,1,1151131,master only (1)
chrisbrown,,,1,31843671,matched (3)
chrismd10,,,1,904294,master only (1)
CMO_Odisha,,,1,602105,master only (1)
connorfranta,,,1,9261844,master only (1)
CrissAngel,,,1,902701,master only (1)
csydelko,,,1,934160,master only (1)
DaithiDeNogla,,,1,1770943,master only (1)
dalermehndi,,,1,604756,master only (1)
DanBilzerian,,,1,1692585,master only (1)
danielricciardo,,,1,1795683,master only (1)
DarrenCriss,,,1,1905965,master only (1)
DavidBowieReal,,,1,969722,master only (1)
DeAndre,,,1,1170755,master only (1)
deanjnorris,,,1,527631,master only (1)
DeleMomodu,,,1,1189389,master only (1)
DevinBook,,,1,744557,master only (1)
dhruv_rathee,,,1,533481,master only (1)
DietmarHamann,,,1,672765,master only (1)
diggy_simmons,,,1,1563521,master only (1)
djkhaled,,,1,4972034,master only (1)
DollyParton,,,1,4852591,master only (1)
dylanobrien,,,1,4863447,master only (1)
evanescence,,,1,1239880,master only (1)
Evy_Lynch,,,1,1189527,master only (1)
fireboydml,,,1,899511,master only (1)
foodgod,,,1,701573,master only (1)
GhostPanther,,,1,1018821,master only (1)
GIHADFADEL,,,1,854524,master only (1)
GillianA,,,1,695022,master only (1)
Gladwell,,,1,652789,master only (1)
GVikhlyancev,,,1,610982,master only (1)
haydenpanettier,,,1,693549,master only (1)
hbarnes,,,1,617171,master only (1)
iAmNehaKakkar,,,1,923601,master only (1)
IamStevenT,,,1,1742202,master only (1)
ilovegeorgina,,,1,4180541,master only (1)
imjadeja,,,1,2654289,master only (1)
impradeepmachi,,,1,1360214,master only (1)
jadapsmith,,,1,1469261,master only (1)
jadenhossler,,,1,639451,master only (1)
JDMahama,,,1,1547843,master only (1)
JensenAckles,,,1,2642100,master only (1)
JimCarrey,,,1,18753495,master only (1)
jimmybuffett,,,1,596018,master only (1)
JohnMcafeeC,,,1,524404,master only (1)
JohnWall,,,1,1884221,master only (1)
JonahMarais,,,1,882054,master only (1)
JordinSparks,,,1,3767570,master only (1)
JosephinSkriver,,,1,744939,master only (1)
joyonlineghana,,,1,565251,master only (1)
jschlatt,,,1,557613,master only (1)
jtofashion,,,1,918721,master only (1)
JZarif,,,1,1553642,master only (1)
KarlaSouza7,,,1,596642,master only (1)
kasie,,,1,500972,master only (1)
KeeganMKey,,,1,647700,master only (1)
keselowski,,,1,774272,master only (1)
KevinHert4Real,,,1,833260,master only (1)
killbeatz,,,1,503639,master only (1)
kingsleyyy,,,1,763746,master only (1)
kirk_official,,,1,1164635,master only (1)
KodakBlack1k,,,1,3107077,master only (1)
KristenMcAtee,,,1,549363,master only (1)
KSIOlajidebt,,,1,5780073,master only (1)
Kurkjian_ESPN,,,1,687976,master only (1)
ladyantebellum,,,1,2435020,master only (1)
Lagarde,,,1,635866,master only (1)
LarryFitzgerald,,,1,2259604,master only (1)
LilTunechi,,,1,34765005,matched (3)
Ludacris,,,1,11495994,master only (1)
MaherZain,,,1,1793517,master only (1)
mandhana_smriti,,,1,540592,master only (1)
marcjacobs,,,1,8981691,master only (1)
martinamcbride,,,1,868894,master only (1)
MattCarp13,,,1,784604,master only (1)
McConaughey,,,1,2633828,master only (1)
MELANIATRUMP,,,1,1110538,master only (1)
MeredithFoster,,,1,1220427,master only (1)
MichaelAvenatti,,,1,767719,master only (1)
michiokaku,,,1,745406,master only (1)
mikeshinoda,,,1,1014901,master only (1)
missmayim,,,1,679771,master only (1)
missnemmanuel,,,1,663077,master only (1)
MnetMAMA,,,1,1876817,master only (1)
Mo_Farah,,,1,1541695,master only (1)
MohammadKaif,,,1,1201794,master only (1)
moneyartist,,,1,524145,master only (1)
MotleyCrue,,,1,688441,master only (1)
mradamscott,,,1,1624188,master only (1)
MrCraigRobinson,,,1,556458,master only (1)
MrMuselk,,,1,793232,master only (1)
MrTommyLand,,,1,668139,master only (1)
myntra,,,1,590096,master only (1)
Nashgrier,,,1,6732065,master only (1)
Nelly_Mo,,,1,3845232,master only (1)
Niltoncomedy,,,1,734393,master only (1)
noaheverett,,,1,3465973,master only (1)
NoahJ456,,,1,1068023,master only (1)
OfficiallyGT,,,1,633481,master only (1)
PastorJohnHagee,,,1,564552,master only (1)
pauladefarasin,,,1,859086,master only (1)
pochoy29,,,1,1653825,master only (1)
Polo_Capalot,,,1,615037,master only (1)
PrannoyRoyNDTV,,,1,775425,master only (1)
rachaelray,,,1,4367864,master only (1)
RahulBose1,,,1,1942126,master only (1)
RAYAofficial,,,1,1290554,master only (1)
Realbobbyjay,,,1,559401,master only (1)
RealCurtisAxel,,,1,664341,master only (1)
RuthieeL,,,1,623421,master only (1)
Ryback,,,1,1494635,master only (1)
SakimiChanArt,,,1,595216,master only (1)
Salman_ARY,,,1,1074084,master only (1)
sampottorff,,,1,1626570,master only (1)
ScarlettMoffatt,,,1,655729,master only (1)
SGAG_SG,,,1,587103,master only (1)
sierrafurtado,,,1,553195,master only (1)
SirPareshRawal,,,1,2876494,master only (1)
SMQureshiPTI,,,1,3086821,master only (1)
sonic_hedgehog,,,1,5852155,master only (1)
StandardKenya_D,,,1,1948979,master only (1)
stevewoz,,,1,629015,master only (1)
SupremeDreams_1,,,1,584233,master only (1)
Surbhiactress,,,1,577255,master only (1)
SwaggerSouls,,,1,1141710,master only (1)
TaylerHolder,,,1,567415,master only (1)
TessaThompson_x,,,1,574837,master only (1)
TheGaryo,,,1,1187637,master only (1)
TheoHOfficial_,,,1,619390,master only (1)
thepioneerwoman,,,1,1262697,master only (1)
TherealTaraji,,,1,5467373,master only (1)
ThibaultGarcia,,,1,766457,master only (1)
TigerWoods,,,1,6537501,master only (1)
TishaCampblMrtn,,,1,628788,master only (1)
TM2LeahDawn,,,1,1436224,master only (1)
tonygoldwyn,,,1,511387,master only (1)
ToroRosso,,,1,711136,master only (1)
travisbarker,,,1,1527553,master only (1)
TroyAikman,,,1,1603570,master only (1)
trsharish,,,1,777213,master only (1)
Truman_Black,,,1,977953,master only (1)
VanessaMorgan,,,1,674611,master only (1)
VernonDavis85,,,1,1068762,master only (1)
vincestaples,,,1,1127260,master only (1)
vj_diya,,,1,793193,master only (1)
yokoono,,,1,4780245,master only (1)
yungchip,,,1,502341,master only (1)
zaralarsson,,,1,1485663,master only (1)
tim_fargo,,,0.9974684,611783,master only (1)
marksandspencer,,,0.9964029,596107,master only (1)
soledadobrien,0.0949285,2307,0.9923664,1216835,master only (1)
RogerBezanis,0.0901991,2561,0.989071,501460,master only (1)
deray,0.0904152,2577,0.9883721,1041502,master only (1)
shaunking,0.0803842,1978,0.9873418,1151608,master only (1)
darrenrovell,0.0542466,1825,0.9868421,2055200,master only (1)
soompi,0.0030769,2600,0.9866667,2706183,master only (1)
MsVivicaFox,0.0115385,3120,0.9861111,578746,master only (1)
RyanAFournier,0.0931677,805,0.9852941,895091,master only (1)
Tweetwizzard,0.2203905,2305,0.9850746,737540,master only (1)
davidfrum,0.1237113,2328,0.9850746,885372,master only (1)
JustJared,0.1093172,2973,0.9849624,750760,master only (1)
Nidhi,0.3551648,2275,0.9846154,756026,master only (1)
CoachSchuman,0.0098522,203,0.984375,630344,master only (1)
renoomokri,0.0940292,2127,0.984127,793998,master only (1)
jimcramer,0.0655195,3022,0.984127,1297852,master only (1)
kimgarst,0.0013249,3019,0.984127,609658,master only (1)
MarthaKarua,0.276082,2195,0.9836066,930619,master only (1)
DavidCornDC,0.1219937,2869,0.9830508,828058,master only (1)
