account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
AnilRavipudi,0.115942,69,1,1053590,master only (1)
charliekirk11,0.1158349,1623,1,1761733,master only (1)
Mark_Sheppard,0.1156702,2559,1,1216315,master only (1)
Trevornoah,0.1156463,147,1,10622507,master only (1)
MahelaJay,0.1148649,148,1,1134241,master only (1)
SaranshGoila,0.1142857,70,1,697668,master only (1)
iamsrk,0.113924,79,1,39867470,matched (3)
rogerkver,0.1132075,106,1,596558,master only (1)
jamesmaslow,0.1129032,62,1,3047268,master only (1)
MmusiMaimane,0.1125828,604,1,1406361,master only (1)
PaulHollywood,0.1121495,214,1,521410,master only (1)
Lawrence,0.1121233,1427,1,2701769,master only (1)
xBrooklynBluex,0.1119473,1063,1,1045820,master only (1)
nikhilchinapa,0.1119324,947,1,2039419,master only (1)
Lilpeep,0.1111111,9,1,623991,master only (1)
SallyQYates,0.1111111,9,1,834521,master only (1)
chucktodd,0.1111111,36,1,2065807,master only (1)
KatieHeigl,0.1111111,36,1,1283210,master only (1)
Theresacaputo,0.1111111,36,1,789634,master only (1)
Saqlain_Mushtaq,0.1111111,45,1,1160661,master only (1)
edhelms,0.1111111,63,1,1121499,master only (1)
Ilhan,0.1104295,489,1,693582,master only (1)
ferrifrump,0.1100629,318,1,644369,master only (1)
charltonbrooker,0.11,100,1,1246264,master only (1)
akshaykumar,0.1098901,91,1,32774187,matched (3)
BetoORourke,0.1098266,173,1,1658239,master only (1)
CoryBooker,0.1096257,374,1,4494125,master only (1)
lala,0.109589,146,1,4695168,master only (1)
kurt13warner,0.109375,128,1,601157,master only (1)
Pvsindhu1,0.109375,128,1,2872289,master only (1)
alroker,0.1088083,193,1,2516987,master only (1)
BillieJeanKing,0.1088083,386,1,507646,master only (1)
carlbildt,0.1078125,640,1,671708,master only (1)
simonhelberg,0.1075,400,1,855969,master only (1)
thomasmlambo,0.1068376,234,1,605217,master only (1)
fbhutto,0.1065574,122,1,2533872,master only (1)
ReggieMillerTNT,0.1064815,216,1,820922,master only (1)
stephenfry,0.1062271,273,1,12754596,master only (1)
SkySports,0.1060662,2687,1,5357875,master only (1)
JoshDevineDrums,0.1060606,66,1,3325241,master only (1)
TomiLahren,0.1060329,547,1,1608838,master only (1)
Maisie_Williams,0.1052632,19,1,2858679,master only (1)
ShawnMendes,0.1052632,19,1,24174757,matched (3)
MarkRuffalo,0.1051136,352,1,6617875,master only (1)
MsKajalAggarwal,0.1047619,210,1,3515805,master only (1)
Astro_Alex,0.1046512,86,1,1263948,master only (1)
ClaudiaWinkle,0.1041667,48,1,907649,master only (1)
AnilKapoor,0.104101,317,1,5613087,master only (1)
GretchenRossi,0.1038961,77,1,661985,master only (1)
RailaOdinga,0.1034483,87,1,2572472,master only (1)
DianaPenty,0.1030928,97,1,1413627,master only (1)
UrvashiRautela,0.1028807,243,1,599614,master only (1)
Jahmene,0.1025641,195,1,518705,master only (1)
Bethenny,0.1024306,576,1,1618501,master only (1)
djmotwister,0.1022727,176,1,1126960,master only (1)
Kasparov63,0.1020942,764,1,550295,master only (1)
dosomething,0.1018998,579,1,746591,master only (1)
dezeen,0.1015547,3023,1,968458,master only (1)
nervomusic,0.1013825,217,1,1058658,master only (1)
AdvDali_Mpofu,0.1013699,365,1,596154,master only (1)
paulkrugman,0.1009174,654,1,4618600,master only (1)
RGrosjean,0.1006289,159,1,858905,master only (1)
SarahHuckabee,0.1005291,189,1,587828,master only (1)
hughlaurie,0.1,30,1,1427697,master only (1)
NDJ_Official,0.1,40,1,848882,master only (1)
SisterHazelBand,0.1,50,1,581968,master only (1)
hershybru,0.1,120,1,631964,master only (1)
SuzeOrmanShow,0.1,230,1,1438087,master only (1)
PopWrapped,0.0991379,232,1,563318,master only (1)
arden_cho,0.0987654,81,1,794808,master only (1)
MadhuriDixit,0.0987654,243,1,8773064,master only (1)
kimguilfoyle,0.0985761,913,1,1714342,master only (1)
abikedabiri,0.0983763,1047,1,580034,master only (1)
MutahiNgunyi,0.0983607,61,1,1400128,master only (1)
sueperkins,0.0981595,163,1,1114264,master only (1)
rhettmc,0.0980392,102,1,680074,master only (1)
HamiltonAnthony,0.0980392,153,1,535508,master only (1)
IanMcKellen,0.097561,123,1,4044314,master only (1)
bobsaget,0.0971429,175,1,2368915,master only (1)
SimranbaggaOffc,0.0969697,165,1,550714,master only (1)
DiamondandSilk,0.096841,1931,1,1440673,master only (1)
SDhawan25,0.0967742,62,1,4591145,master only (1)
cl_atlanta,0.0966057,383,1,742319,master only (1)
coldplay,0.0964912,114,1,23721224,matched (3)
serjtankian,0.0963855,83,1,564794,master only (1)
SidMalhotra,0.0956522,115,1,9543621,master only (1)
BoringMilner,0.0952381,21,1,661686,master only (1)
chamillionaire,0.0952381,21,1,769508,master only (1)
Schofe,0.0952381,42,1,4596442,master only (1)
kenradio,0.0952381,147,1,995347,master only (1)
GarySinise,0.0947368,95,1,690682,master only (1)
muselk,0.0945946,74,1,867635,master only (1)
EmilyOsment,0.0943396,53,1,3323741,master only (1)
HeatherDubrow,0.0943396,53,1,662369,master only (1)
RonJichardson,0.0943396,53,1,692307,master only (1)
76Shadabkhan,0.0943396,106,1,658807,master only (1)
DHughesy,0.0935961,406,1,709892,master only (1)
MargaretAtwood,0.0935006,877,1,1979493,master only (1)
cathaypacific,0.0930233,43,1,560959,master only (1)
MehwishHayat,0.0930233,86,1,1177049,master only (1)
MIAuniverse,0.0928962,183,1,653594,master only (1)
jennafischer,0.0927835,97,1,1226488,master only (1)
jvn,0.0927152,151,1,816124,master only (1)
Ed_Miliband,0.092437,119,1,767575,master only (1)
mitchellreports,0.0914804,2864,1,1858058,master only (1)
CynthiaLIVE,0.0910426,681,1,1650914,master only (1)
21savage,0.0909091,11,1,3454459,master only (1)
chadwickboseman,0.0909091,11,1,1532648,master only (1)
hopsin,0.0909091,11,1,579864,master only (1)
iamKennyHolland,0.0909091,22,1,510126,master only (1)
ReginaKing,0.0909091,22,1,886475,master only (1)
DavidOtunga,0.0909091,44,1,620413,master only (1)
YayaToure,0.0909091,44,1,766316,master only (1)
Akon,0.0909091,143,1,6350969,master only (1)
colinodonoghue1,0.0909091,143,1,619403,master only (1)
robreiner,0.0909091,297,1,894843,master only (1)
Kat_McNamara,0.0906149,309,1,1314732,master only (1)
superm,0.0902256,133,1,1217409,master only (1)
DJPaulyD,0.0901804,499,1,3975816,master only (1)
NateSilver538,0.0900576,1388,1,3323635,master only (1)
JayGardner,0.0897436,78,1,905092,master only (1)
LauraPrepon,0.0896226,212,1,905967,master only (1)
rajolaurel,0.089317,571,1,660359,master only (1)
juliana_evans,0.0888889,45,1,831879,master only (1)
RealDMitchell,0.0888889,45,1,2279987,master only (1)
David_Boreanaz,0.0888889,90,1,740831,master only (1)
Roycelr,0.0888889,135,1,506355,master only (1)
Veronica,0.0888889,135,1,1608464,master only (1)
ReggieBush,0.0886076,158,1,2844462,master only (1)
DremTGI,0.0884956,113,1,882850,master only (1)
