account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
PaulKagame,.7272727,22,1,1832156,master only (1)
DrAnthony,.7125984,254,1,505821,master only (1)
antonioguterres,.6166134,313,1,740775,master only (1)
sayantika12,.5981308,107,1,687690,master only (1)
Varneyco,.5730337,89,1,658975,master only (1)
jidesanwoolu,.5470588,170,1,863866,master only (1)
MrLachris,.5119048,84,1,533080,master only (1)
OnlyWayIsEssex,.5064935,154,1,1255334,master only (1)
DrOz,.4892704,1631,1,4097471,master only (1)
NOIweala,.4698795,83,1,1142959,master only (1)
10DowningStreet,.4560878,1002,1,5749251,master only (1)
edmnangagwa,.4423077,52,1,503538,master only (1)
tedlieu,.4363057,942,1,1309388,master only (1)
wolfblitzer,.4248252,572,1,1472689,master only (1)
iingwen,.416,125,1,597190,master only (1)
NivinOfficial,.4126984,63,1,1460458,master only (1)
SmthnglikeKites,.4117647,17,1,1759537,master only (1)
ajplus,.4095164,2564,1,1122103,master only (1)
SenatorDurbin,.4046053,912,1,658399,master only (1)
mohan_manjima,.4017857,224,1,1224410,master only (1)
TJHuntley,.4,15,1,572707,master only (1)
capt_amarinder,.3958763,485,1,762778,master only (1)
SenDuckworth,.3936349,597,1,577272,master only (1)
melindagates,.3908046,87,1,2427121,master only (1)
missgemcollins,.390693,2987,1,1284118,master only (1)
BorisJohnson,.3892405,316,1,2652397,master only (1)
NicolaSturgeon,.3890625,640,1,1132811,master only (1)
vivekoberoi,.384058,138,1,2218417,master only (1)
jensstoltenberg,.3823529,68,1,514507,master only (1)
BillGates,.3818182,55,1,48400139,matched (3)
JulieGichuru,.38,250,1,1201779,master only (1)
deepikapadukone,.3783784,37,1,26798149,matched (3)
Mark_Beech,.3770492,61,1,1252700,master only (1)
FedericaMog,.3666667,60,1,527178,master only (1)
Nightline,.3638459,3037,1,1206550,master only (1)
IAF_MCC,.3628571,350,1,1124848,master only (1)
RealCandaceO,.3625592,422,1,2062365,master only (1)
Our_DA,.3622722,933,1,612616,master only (1)
MayorofLondon,.3555556,1530,1,3277908,master only (1)
MSF_USA,.3520408,392,1,904349,master only (1)
BinaNepram,.3510815,601,1,553573,master only (1)
AC360,.3508403,476,1,1405855,master only (1)
dawallach,.3478261,138,1,1143944,master only (1)
SenFeinstein,.3454545,550,1,1432405,master only (1)
the_hindu,.3446553,2002,1,6142653,master only (1)
ianbremmer,.3436063,2174,1,522335,master only (1)
drsanjaygupta,.3401361,147,1,2414204,master only (1)
TahirulQadri,.3333333,27,1,1893776,master only (1)
ChelseaClinton,.3290043,462,1,2634713,master only (1)
kiranshaw,.3285486,1254,1,1523655,master only (1)
authoramish,.3267716,1270,1,936487,master only (1)
CarolineMutoko,.3259494,316,1,616376,master only (1)
KagutaMuseveni,.3258427,178,1,1609603,master only (1)
aishambuhari,.3243243,37,1,694612,master only (1)
prabhu_sr,.3239437,71,1,651836,master only (1)
Kailashkher,.320442,181,1,500863,master only (1)
RGVzoomin,.319209,354,1,4333925,master only (1)
ftchina,.3184358,716,1,1084752,master only (1)
THexplains,.3131313,99,1,634717,master only (1)
bryanadams,.3125,64,1,659111,master only (1)
jonsnowC4,.3088235,272,1,1399860,master only (1)
Alissonbecker,.3055556,36,1,1008664,master only (1)
SenTedCruz,.3044575,1189,1,1539947,master only (1)
iamAhmadshahzad,.3020833,96,1,2224930,master only (1)
MahindraRise,.2972973,222,1,1303904,master only (1)
srikidambi,.2972973,37,1,1160840,master only (1)
MukhiSree,.2941177,68,1,1263562,master only (1)
OTruta,.2929293,99,1,681945,master only (1)
KateUpton,.2903226,31,1,2263881,master only (1)
LesterHoltNBC,.2878788,66,1,525819,master only (1)
SecPompeo,.2861586,643,1,1903212,master only (1)
IncredibleCulk,.2857143,7,1,533448,master only (1)
mamtamohan,.2857143,7,1,537436,master only (1)
realpreityzinta,.2857143,84,1,4938628,master only (1)
nsitharaman,.2837607,585,1,3340099,master only (1)
BakhtawarBZ,.2835821,201,1,2742501,master only (1)
rmantha2,.2815534,206,1,563247,master only (1)
Fahrenthold,.2806394,2252,1,727570,master only (1)
bbcnickrobinson,.2777778,252,1,968031,master only (1)
nansen,.2773438,256,1,500916,master only (1)
David_Ornstein,.276699,206,1,557047,master only (1)
GarShehu,.2751092,229,1,914939,master only (1)
HassanAliJoho,.2741936,124,1,734208,master only (1)
ecr9495,.2731755,2028,1,503743,master only (1)
AmbJohnBolton,.2727273,99,1,933254,master only (1)
OmarAbdullah,.2721239,452,1,3243773,master only (1)
RepMaxineWaters,.2705882,85,1,1191669,master only (1)
SAfridiOfficial,.2673993,273,1,1291936,master only (1)
IsraeliPM,.2669903,206,1,825366,master only (1)
OfficialMelB,.2666667,45,1,1068124,master only (1)
HEBobiwine,.2642857,140,1,520702,master only (1)
trishtrashers,.2631579,19,1,5212483,master only (1)
WarrenWhitlock,.2600864,1388,1,505831,master only (1)
J_Ennis,.2592593,27,1,1494258,master only (1)
imbhandarkar,.2576419,229,1,878166,master only (1)
PankajAdvani247,.2575758,66,1,1092200,master only (1)
SecondLady,.257554,695,1,550872,master only (1)
SitaramYechury,.2566372,678,1,933651,master only (1)
SavannahGuthrie,.254717,212,1,915399,master only (1)
Sophie_Choudry,.2537313,402,1,2368996,master only (1)
AsiwajuTinubu,.25,12,1,735764,master only (1)
CarlyRoseMusic,.25,4,1,650627,master only (1)
dramadrama,.25,16,1,554209,master only (1)
memetalialabora,.25,8,1,2826259,master only (1)
thejakartaglobe,.25,528,1,527762,master only (1)
NickKristof,.246522,1797,1,2056212,master only (1)
nusratchirps,.2460733,191,1,738837,master only (1)
FauziaKasuri,.245841,541,1,801197,master only (1)
RepDanCrenshaw,.245283,212,1,525932,master only (1)
AmritaRao,.245098,102,1,878939,master only (1)
ThatKevinSmith,.244856,486,1,3193198,master only (1)
haveigotnews,.24375,320,1,651204,master only (1)
ShehzadRoy,.2429907,214,1,831815,master only (1)
smh,.2420575,2644,1,810351,master only (1)
MBuhari,.2419355,62,1,2970896,master only (1)
KumarSanga2,.2413793,116,1,1417434,master only (1)
LouDobbs,.2411261,817,1,2172363,master only (1)
EvanHD,.2403101,129,1,506057,master only (1)
piacayetano,.24,200,1,635071,master only (1)
Yamiche,.2393488,2887,1,883859,master only (1)
NMenonRao,.2379808,416,1,1405243,master only (1)
ChefKunalKapur,.2368421,76,1,2138242,master only (1)
2morrowknight,.2361111,144,1,843945,master only (1)
SadiqKhan,.2337483,2169,1,1090840,master only (1)
yawazobiafm,.2336182,702,1,715992,master only (1)
MrKRudd,.2327586,232,1,1540009,master only (1)
iamyusufpathan,.2325581,43,1,1127282,master only (1)
the_speakmans,.2325581,258,1,674255,master only (1)
SenWarren,.2310406,567,1,5872489,master only (1)
GOPLeader,.2310369,1437,1,838616,master only (1)
Ali_Nejad,.2307692,13,1,763231,master only (1)
CollChris,.2307692,39,1,743391,master only (1)
EmmaWatson,.2307692,39,1,29155184,matched (3)
RonnieScrewvala,.2307692,247,1,2129442,master only (1)
RepAdamSchiff,.2303371,178,1,2000331,master only (1)
FabrizioRomano,.2268908,119,1,663577,master only (1)
ashwinravi99,.2261905,168,1,9832795,master only (1)
Jim_Jordan,.2242152,223,1,1334728,master only (1)
FareedZakaria,.2235294,255,1,966108,master only (1)
bipsluvurself,.2227488,211,1,6490505,master only (1)
theresa_may,.2222222,9,1,916275,master only (1)
udaykotak,.2222222,18,1,1005268,master only (1)
BarringtonMole,.2218247,559,1,946128,master only (1)
AprilDRyan,.2218182,2750,1,633480,master only (1)
chetan_bhagat,.2217659,487,1,12720653,master only (1)
DavidLammy,.2213247,619,1,618787,master only (1)
mike_pence,.2210744,1936,1,4012818,master only (1)
milinddeora,.218638,279,1,1722331,master only (1)
ClayTravis,.2185145,1858,1,677111,master only (1)
rithvik_RD,.2173913,23,1,2792059,master only (1)
DavidMuir,.2162162,37,1,769613,master only (1)
Quratulainb,.2162162,74,1,528374,master only (1)
kylegriffin1,.2153313,2596,1,748406,master only (1)
andyroddick,.214876,605,1,1512270,master only (1)
jiteshpillaai,.2139535,215,1,721459,master only (1)
AndleebAbbas,.2136752,234,1,1184513,master only (1)
krishgm,.2108108,555,1,596304,master only (1)
JP_LOKSATTA,.2105263,76,1,975685,master only (1)
ShehryarAfridi1,.2096774,124,1,508407,master only (1)
reidhoffman,.2096774,186,1,537142,master only (1)
rpsingh,.2095238,210,1,1576887,master only (1)
MangteC,.2093023,43,1,1440069,master only (1)
Madonna,.2086957,115,1,2538170,master only (1)
AskAnshul,.2086168,441,1,614115,master only (1)
russellhoward,.2058824,102,1,1352220,master only (1)
