account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
RepMattGaetz,0.1201158,691,1,751953,master only (1),,2.4975
Jim_Jordan,0.2242152,223,1,1334728,master only (1),1.533879131,2.13851
RepMarkMeadows,,,1,588515,master only (1),,1.82791
theblaze,0.2267972,2963,0.9591837,726003,master only (1),,1.73368
BreitbartNews,0.1934493,2931,0.9646018,1357955,master only (1),,1.64686
NRA,0.0425532,376,1,805982,master only (1),,1.64168
glennbeck,0.1741071,448,1,1280109,master only (1),1.414472846,1.51078
DRUDGE_REPORT,,,0.875,1375006,master only (1),,1.42004
SenTedCruz,0.3044575,1189,1,1539947,master only (1),1.76408562,1.41863
SenMikeLee,0.1,150,1,577650,master only (1),,1.37357
GOPLeader,0.2310369,1437,1,838616,master only (1),1.310198224,1.34918
AnnCoulter,0.1419231,2600,0.9375,2252243,master only (1),,1.25655
IngrahamAngle,0.1992295,1817,1,3430998,master only (1),1.335500675,1.17275
newtgingrich,0.1955556,675,1,2240129,master only (1),1.529363718,1.16418
tedcruz,0.1165387,1433,0.9545454,3731315,master only (1),,1.10279
seanhannity,0.1972613,2702,1,4917920,master only (1),1.605793657,0.94949
GovMikeHuckabee,0.0828924,567,1,1661429,master only (1),,0.86951
megynkelly,0.1221719,221,1,2442993,master only (1),,0.78192
GOP,0.0893599,2406,0.969697,2391333,master only (1),,0.77878
mike_pence,0.2210744,1936,1,4012818,master only (1),1.875911188,0.5679
Mike_Pence,0.2209602,1937,0.9512195,4772418,master only (1),,0.5679
JebBush,0.0559441,286,1,1408154,master only (1),,0.41544
marcorubio,0.1458797,898,1,4150957,master only (1),,0.32876
realDonaldTrump,,,0.9253731,80760828,matched (3),,-0.01012
VP,0.2075134,559,0.9375,9048456,master only (1),,-0.04465
YahooNews,0.3108644,2522,0.9911504,1112740,master only (1),,-0.31272
USATODAY,0.112,375,0.9805825,4087412,master only (1),,-0.51835
senatemajldr,0.1950208,241,1,1557854,master only (1),1.492845369,-0.52183
CBSNews,0.1851852,1917,0.9953271,7583515,master only (1),,-0.58305
BBCWorld,0.3662271,2351,0.990196,28125231,matched (3),,-0.75928
POTUS,0.1310008,1229,0.8571429,30209172,matched (3),,-0.83468
nytimes,0.2743745,2318,0.9915254,46665319,matched (3),,-0.93404
NewsHour,0.3585333,2209,0.9882353,1074112,master only (1),,-1.01269
SenateDems,0.2105712,1173,0.9473684,1037743,master only (1),,-1.1027
HillaryClinton,0.1102041,245,1,27725470,matched (3),,-1.10498
SenatorCollins,0.1142857,245,1,550397,master only (1),,-1.10762
Slate,0.0684008,1038,0.9964913,1798401,master only (1),,-1.14801
BernieSanders,0.090312,1218,1,11797883,master only (1),,-1.2754
StephenAtHome,0.0588235,153,1,18815900,master only (1),,-1.34513
TheDailyShow,0.192492,1252,0.9375,8606701,master only (1),,-1.36206
maddow,0.1535088,1824,1,10088381,master only (1),,-1.38434
SenSanders,0.138833,497,1,9594812,master only (1),,-1.38537
donlemon,,,1,1025546,master only (1),,-1.42641
JoeBiden,0.0581395,1118,1,5306523,master only (1),,-1.43536
SenatorDurbin,0.4046053,912,1,658399,master only (1),0.936916618,-1.48286
SenSchumer,0.189011,910,1,2316891,master only (1),0.722197761,-1.49213
SenWarren,0.2310406,567,1,5872489,master only (1),0.858893741,-1.51355
chrislhayes,0.1718083,2107,0.9852941,2128634,master only (1),,-1.53709
SenBlumenthal,0.1268939,528,1,649067,master only (1),,-1.53881
HRC,0.1470426,1809,0.9736842,827932,master only (1),,-1.57314
SenGillibrand,0.116129,310,1,1517265,master only (1),,-1.60407
SenFeinstein,0.3454545,550,1,1432405,master only (1),0.818169424,-1.6433
ACLU,,,1,1696097,master only (1),,-1.67111
SenDuckworth,0.3936349,597,1,577272,master only (1),0.637097124,-1.67331
RepSwalwell,0.179792,673,1,774865,master only (1),0.144285124,-1.75863
RepJoeKennedy,0.1515837,442,1,802173,master only (1),,-1.76623
RepAdamSchiff,0.2303371,178,1,2000331,master only (1),-0.951622245,-1.77767
repjohnlewis,0.1176471,17,1,1157709,master only (1),,-1.84574
RepMaxineWaters,0.2705882,85,1,1191669,master only (1),-1.278044918,-1.87176
SenKamalaHarris,0.2049037,571,1,1266287,master only (1),-1.411441548,-1.90953
science,0.7586207,87,1,879123,master only (1),0,
wef,0.7565722,2929,1,3790712,master only (1),0.365753222,
PaulKagame,0.7272727,22,1,1832156,master only (1),0.276632848,
CDCemergency,0.7245179,726,1,2025560,master only (1),0.161152088,
GiveIndia,0.718894,434,1,580815,master only (1),-0.67110421,
DrAnthony,0.7125984,254,1,505821,master only (1),1.49853142,
CDCgov,0.6758046,839,1,2793723,master only (1),0.558533074,
unfoundation,0.6662388,779,1,603427,master only (1),-0.93301804,
antonioguterres,0.6166134,313,1,740775,master only (1),-0.330155142,
TIMEHealth,0.612326,503,1,733425,master only (1),0.126571319,
sayantika12,0.5981308,107,1,687690,master only (1),0,
NBCNewsHealth,0.5967904,1994,1,1022890,master only (1),0.18975555,
OECD,0.5954357,482,1,620356,master only (1),0.100945936,
IMFNews,0.5900277,1083,1,1652793,master only (1),0.341950375,
ChinaPlusNews,0.5775307,1709,1,772650,master only (1),0.940932168,
Varneyco,0.5730337,89,1,658975,master only (1),1.442459894,
AmerMedicalAssn,0.5721291,2447,1,726736,master only (1),0.786018505,
Surgeon_General,0.5717703,836,1,812080,master only (1),1.191957592,
WorldBank,0.549369,1347,1,3316619,master only (1),0.044564596,
UN,0.5475059,1684,1,12494102,master only (1),-0.85743728,
jidesanwoolu,0.5470588,170,1,863866,master only (1),-1.640136969,
USEmbassyPH,0.5433376,773,1,804887,master only (1),0.337256914,
Oxfam,0.5376846,1287,1,845875,master only (1),-1.156152476,
UNDP,0.5372689,1677,1,1508730,master only (1),-0.541383405,
HHSGov,0.5364512,727,1,957832,master only (1),0.940592553,
UNESCO,0.5337287,1349,1,3255707,master only (1),-0.283410813,
NYTHealth,0.5331936,2862,1,1203271,master only (1),-1.310250225,
Canada,0.5252855,613,1,785359,master only (1),0.202223634,
latimesphotos,0.5221519,316,1,581024,master only (1),0.382086835,
UNICEF,0.5179968,1278,1,8231820,master only (1),-1.374004668,
SAfmnews,0.5134804,2448,1,533182,master only (1),0.593978297,
MrLachris,0.5119048,84,1,533080,master only (1),0.890904525,
OnlyWayIsEssex,0.5064935,154,1,1255334,master only (1),0.171098138,
WSJhealth,0.5062656,399,1,711141,master only (1),1.27301661,
PDChina,0.5009474,2639,1,7121736,master only (1),0.912106251,
UN_Spokesperson,0.4950495,606,1,634779,master only (1),0.033906831,
gatesfoundation,0.4908257,218,1,2017789,master only (1),-1.426148853,
DrOz,0.4892704,1631,1,4097471,master only (1),0.647885767,
WorldVision,0.4784946,372,1,1145734,master only (1),1.134595804,
NOIweala,0.4698795,83,1,1142959,master only (1),0.576411896,
10DowningStreet,0.4560878,1002,1,5749251,master only (1),-0.636984117,
edmnangagwa,0.4423077,52,1,503538,master only (1),1.564709739,
tedlieu,0.4363057,942,1,1309388,master only (1),0.266823187,
wolfblitzer,0.4248252,572,1,1472689,master only (1),1.108525188,
iingwen,0.416,125,1,597190,master only (1),0,
NivinOfficial,0.4126984,63,1,1460458,master only (1),-0.493605191,
SmthnglikeKites,0.4117647,17,1,1759537,master only (1),0,
ajplus,0.4095164,2564,1,1122103,master only (1),0.029952367,
